htest	zuo
"Colon, Sigmoid/surgery"	Pelvic Organ Prolapse/surgery 
Colposcopy/adverse effects	Uterine Prolapse/surgery 
Constipation/surgery	Gynecologic Surgical Procedures/methods 
Digestive System Surgical Procedures/methods	Surgical Mesh 
Fecal Incontinence/epidemiology	Vagina/surgery 
Fecal Incontinence/surgery	
Fecal Incontinence/therapy	Urinary Incontinence
Gynecologic Surgical Procedures/methods	
Gynecology	Cystocele/surgery 
Hemorrhoids/surgery	Suburethral Slings 
Hydronephrosis/complications	Quality of Life 
Hydronephrosis/etiology	Gynecologic Surgical Procedures/adverse effects 
"Hysterectomy, Vaginal/methods"	Pelvic Organ Prolapse/therapy 
Intraoperative Complications/epidemiology	Pelvic Organ Prolapse/diagnosis 
Kidney Diseases/diagnostic imaging	Pelvic Floor/physiopathology 
Kidney/diagnostic imaging	Pelvic Floor/surgery 
Laparoscopy/economics	Pelvic Organ Prolapse/epidemiology 
Laparoscopy/methods	Pelvic Organ Prolapse/physiopathology 
Ligaments/metabolism	Uterine Prolapse/diagnosis 
Pelvic Floor/diagnostic imaging	Pelvic Organ Prolapse/complications 
Pelvic Floor/physiopathology	Ligaments/surgery 
Pelvic Organ Prolapse/diagnostic imaging	Urinary Incontinence/surgery 
Pelvic Organ Prolapse/epidemiology	Urologic Surgical Procedures/methods 
Pelvic Organ Prolapse/metabolism	Suburethral Slings/adverse effects 
Pelvic Organ Prolapse/pathology	Pelvic Organ Prolapse/pathology 
Pelvic Organ Prolapse/physiopathology	Gynecologic Surgical Procedures/instrumentation 
Pelvic Organ Prolapse/surgery	Postoperative Complications/etiology 
Pelvic Organ Prolapse/therapy	Reconstructive Surgical Procedures/methods 
Perineum/surgery	Surveys and Questionnaires
Pessaries	Pelvic Organ Prolapse/etiology 
Postoperative Complications/epidemiology	Uterine Prolapse/etiology 
Rectal Prolapse/surgery	Uterine Prolapse/physiopathology 
Rectocele/surgery	Uterine Prolapse/complications 
Rectum/surgery	Laparoscopy
Robotic Surgical Procedures/rehabilitation	Postoperative Complications/etiology 
Robotics/economics	Uterine Prolapse/epidemiology 
Sacrum/metabolism	Gynecologic Surgical Procedures 
Suburethral Slings	Uterine Prolapse/pathology 
Suburethral Slings/adverse effects	Uterine Prolapse/therapy 
Surgical Mesh	Hysterectomy/adverse effects 
Surgical Mesh/adverse effects	Robotics 
Surgical Stapling/methods	Hysterectomy/methods 
Ureteral Diseases/surgery	Vagina/pathology 
Ureteral Obstruction/complications	Patient Satisfaction
Urinary Catheterization/methods	Pessaries
"Urinary Incontinence, Stress/surgery"	Polypropylenes
Urinary Incontinence/epidemiology	Urinary Incontinence
Urinary Incontinence/physiopathology	Urodynamics 
Urinary Incontinence/therapy	Pelvic Floor/pathology
Urinary Retention/therapy	
Urology	Pelvic Floor/ultrasonography 
Uterine Prolapse/diagnostic imaging	Pelvic Organ Prolapse/psychology 
Uterine Prolapse/surgery	Colposcopy/methods 
Uterus/metabolism	Pelvic Organ Prolapse/metabolism 
Vagina/metabolism	Pelvic Organ Prolapse/ultrasonography 
Vagina/pathology	
Vagina/surgery	
